Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry
Inventurus Knowledge Solutions Ltd.,IKS,Information Technology,Information Technology,IT - Services,IT Enabled Services
Ipca Laboratories Ltd.,IPCALAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
J.K. Cement Ltd.,JKCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
JBM Auto Ltd.,JBMA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JK Tyre & Industries Ltd.,JKTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
JM Financial Ltd.,JMFINANCIL,Financial Services,Financial Services,Finance,Holding Company
JSW Energy Ltd.,JSWENERGY,Utilities,Power,Power,Power Generation
JSW Holdings Ltd.,JSWHL,Financial Services,Financial Services,Finance,Investment Company
JSW Infrastructure Ltd.,JSWINFRA,Services,Services,Transport Infrastructure,Port & Port services
JSW Steel Ltd.,JSWSTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
